t,rms,p2p,crest,kurtosis,equipment
29.5,0.12822241892712055,0.971745,3.8021822086908292,3.0922686009310585,MOTOR_001
29.75,0.13020072696020413,1.199468,5.387128139571644,3.2422322604784304,MOTOR_001
30.0,0.13242826112237618,1.212237,5.296512950146139,3.365411313718924,MOTOR_001
30.25,0.13185614224684888,1.061742,4.178136798273922,3.4053268063230155,MOTOR_001
30.5,0.1341186936321313,1.104953,4.39155038010968,3.368506824562953,MOTOR_001
30.75,0.13059320113746445,1.104953,4.510104621602935,3.2880831749948536,MOTOR_001
31.0,0.1290820368789312,1.2080419999999998,4.925658250933425,3.401840847425,MOTOR_001
31.25,0.1330545482670942,1.2080419999999998,4.778596510084455,3.5734763210066065,MOTOR_001
31.5,0.13252199351670885,1.120642,4.714213719711596,3.4268608349474765,MOTOR_001
31.75,0.13169779139847693,1.174732,4.722736755076617,3.417011447567248,MOTOR_001
32.0,0.13014661819258835,1.174732,4.779025445591029,3.4843528664388628,MOTOR_001
32.25,0.12756509886305306,1.24531,5.668893815355701,3.4748747104882503,MOTOR_001
32.5,0.13112763383696244,1.2669480000000002,5.514878739435903,3.5636529418183582,MOTOR_001
32.75,0.13207785123602858,1.1259890000000001,4.407960869681285,3.472249694856876,MOTOR_001
33.0,0.13023219736276911,1.250695,5.610624828548647,3.3957749796403736,MOTOR_001
33.25,0.1319787814433446,1.236488,5.53637480213943,3.3700913915670383,MOTOR_001
33.5,0.13290346004596346,1.0512730000000001,4.1281694232058,3.389228072571762,MOTOR_001
33.75,0.13155310010407725,1.247948,5.315724216660452,3.441542416223838,MOTOR_001
34.0,0.133368921951691,1.36044,5.243350473008254,3.672253161401093,MOTOR_001
34.25,0.13594868841820062,1.286553,4.863158355498245,3.5992273389038383,MOTOR_001
34.5,0.1339293919290455,1.222487,4.641721962938136,3.425318192019962,MOTOR_001
34.75,0.131360741759152,1.320418,5.319359426891461,3.6129590548029067,MOTOR_001
35.0,0.13553733555633343,1.336217,5.155442942211124,3.9654958856771323,MOTOR_001
35.25,0.13920464822107728,1.375047,5.4270242384450285,3.991642444935661,MOTOR_001
35.5,0.1357526109973497,1.267825,5.565027401312738,3.8389903291715,MOTOR_001
35.75,0.13562942334511022,1.208193,5.115770478758841,3.6142319523972684,MOTOR_001
36.0,0.13831764995247534,1.2084570000000001,4.674276928664877,3.5130300271539587,MOTOR_001
36.25,0.1374692554326171,1.3439860000000001,5.038050128521125,3.708868321144289,MOTOR_001
36.5,0.13399021012567253,1.3439860000000001,5.168862705345532,3.606658307830619,MOTOR_001
36.75,0.13649151062823972,1.238693,4.691273450288268,3.59333520837744,MOTOR_001
37.0,0.137078864255674,1.238693,4.671172346494662,3.7445835887009773,MOTOR_001
37.25,0.13680467241009717,1.215017,4.567826441824643,3.7478431789122033,MOTOR_001
37.5,0.13623137033846178,1.296143,4.927227835500163,3.6689208014577774,MOTOR_001
37.75,0.1358861806534751,1.357118,5.332609957210308,3.722025770881197,MOTOR_001
38.0,0.13785525661240533,1.357118,5.256440833717125,3.646039402452299,MOTOR_001
38.25,0.13712112698405743,1.153658,4.518902474248501,3.670338230032184,MOTOR_001
38.5,0.13906877579252197,1.244913,4.496163832871121,3.8087230527671725,MOTOR_001
38.75,0.13662091626107667,1.220443,4.576722343196152,3.56881238444229,MOTOR_001
39.0,0.13965809341641733,1.4856,5.791909227832208,3.9327103398973544,MOTOR_001
39.25,0.1430457109341617,1.4856,5.6547448694375655,3.988168577125662,MOTOR_001
39.5,0.13801259684356262,1.364274,5.5222930183966685,3.7557461541503527,MOTOR_001
39.75,0.13600696923267894,1.497601,5.603727546462201,3.8369660262608662,MOTOR_001
40.0,0.1357683972149028,1.42259,5.41698226602672,3.805320792264898,MOTOR_001
40.25,0.13456084885735897,1.279911,4.821023392083947,3.679502997976425,MOTOR_001
40.5,0.13407888265797396,1.408571,5.264184680002803,3.8509204124609573,MOTOR_001
40.75,0.13266800027161033,1.408571,5.320167625614221,3.8736766671480947,MOTOR_001
41.0,0.13064973006259428,1.227877,4.940125017409347,3.6632100454567667,MOTOR_001
41.25,0.13146205772674582,1.205988,4.909599097722694,3.6979031851908797,MOTOR_001
41.5,0.12992519135477154,1.244858,4.804018323865085,3.597919459702059,MOTOR_001
41.75,0.13235396457148582,1.244858,4.715861757679973,3.4079447880121774,MOTOR_001
